KEY,"Footprint","Datasheet","MFN","MFP","D1PN","D1PL","D2PN","D2PL"
CONN_MicroUSB__,"Connectors:USB_Micro-B","http://www.jae.com/z-en/pdf_download_exec.cfm?param=MB-0187-3E_DX4.pdf","JAE","DX4R005HJ5R2000","670-2674","http://www.digikey.com/product-detail/en/DX4R005HJ5R2000/670-2674-1-ND/3903234","_","_"
CONN_USB_3.1_microB__,"Connectors:USB3_Micro-B","http://media.digikey.com/pdf/Data%20Sheets/Amphenol%20PDFs/GSB4_Series_USB_31_rev2.pdf","Amphenol Commercial Products","GSB443133HR","GSB443133HR","http://www.digikey.com/product-detail/en/GSB443133HR/GSB443133HRCT-ND/4936161","_","_"
CONN_CONN_01X01__,"Pin_Headers:Pin_Header_Straight_1x01","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X02__,"Pin_Headers:Pin_Header_Straight_1x02","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X03__,"Pin_Headers:Pin_Header_Straight_1x03","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X04__,"Pin_Headers:Pin_Header_Straight_1x04","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X04_50mil__,"Pin_Headers:Pin_Header_Straight_1x04_Pitch1.27mm","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X05__,"Pin_Headers:Pin_Header_Straight_1x05","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X06__,"Pin_Headers:Pin_Header_Straight_1x06","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X07__,"Pin_Headers:Pin_Header_Straight_1x07","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X08__,"Pin_Headers:Pin_Header_Straight_1x08","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X09__,"Pin_Headers:Pin_Header_Straight_1x09","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X10__,"Pin_Headers:Pin_Header_Straight_1x10","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X11__,"Pin_Headers:Pin_Header_Straight_1x11","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X12__,"Pin_Headers:Pin_Header_Straight_1x12","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X13__,"Pin_Headers:Pin_Header_Straight_1x13","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X14__,"Pin_Headers:Pin_Header_Straight_1x14","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X15__,"Pin_Headers:Pin_Header_Straight_1x15","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X16__,"Pin_Headers:Pin_Header_Straight_1x16","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X17__,"Pin_Headers:Pin_Header_Straight_1x17","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X18__,"Pin_Headers:Pin_Header_Straight_1x18","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X19__,"Pin_Headers:Pin_Header_Straight_1x19","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X20__,"Pin_Headers:Pin_Header_Straight_1x20","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X21__,"Pin_Headers:Pin_Header_Straight_1x21","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X22__,"Pin_Headers:Pin_Header_Straight_1x22","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X23__,"Pin_Headers:Pin_Header_Straight_1x23","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X24__,"Pin_Headers:Pin_Header_Straight_1x24","DNP","DNP","DNP","DNP","DNP","_","_"
CONN_CONN_01X25__,"Pin_Headers:Pin_Header_Straight_1x25","DNP","DNP","DNP","DNP","DNP","_","_"
